/home/ec2-user/venv/lib64/python3.9/site-packages/boto3/compat.py:89: PythonDeprecationWarning: Boto3 will no longer support Python 3.9 starting April 29, 2026. To continue receiving service updates, bug fixes, and security updates please upgrade to Python 3.10 or later. More information can be found here: https://aws.amazon.com/blogs/developer/python-support-policy-updates-for-aws-sdks-and-tools/
  warnings.warn(warning, PythonDeprecationWarning)
Connected to Coinbase WebSocket
Sent: BTC-USD | $64035.92 (Buffer: 26/100)
Sent: BTC-USD | $64035.92 (Buffer: 27/100)
Sent: BTC-USD | $64039.46 (Buffer: 28/100)
Sent: BTC-USD | $64039.46 (Buffer: 29/100)
Sent: BTC-USD | $64039.46 (Buffer: 30/100)
Sent: BTC-USD | $64039.46 (Buffer: 31/100)
Sent: BTC-USD | $64039.46 (Buffer: 32/100)
Sent: BTC-USD | $64039.47 (Buffer: 33/100)
Sent: ETH-USD | $1856.96 (Buffer: 34/100)
Sent: BTC-USD | $64039.47 (Buffer: 35/100)
Sent: BTC-USD | $64039.47 (Buffer: 36/100)
Sent: SOL-USD | $73.84 (Buffer: 37/100)
Sent: BTC-USD | $64039.47 (Buffer: 38/100)
Sent: ETH-USD | $1856.99 (Buffer: 39/100)
Sent: BTC-USD | $64039.46 (Buffer: 40/100)
Sent: BTC-USD | $64039.46 (Buffer: 41/100)
Sent: BTC-USD | $64039.46 (Buffer: 42/100)
Sent: BTC-USD | $64039.47 (Buffer: 43/100)
Sent: BTC-USD | $64039.46 (Buffer: 44/100)
Sent: BTC-USD | $64039.46 (Buffer: 45/100)
Sent: BTC-USD | $64039.46 (Buffer: 46/100)
Sent: BTC-USD | $64039.47 (Buffer: 47/100)
Sent: SOL-USD | $73.84 (Buffer: 48/100)
Sent: BTC-USD | $64039.47 (Buffer: 49/100)
Sent: BTC-USD | $64039.47 (Buffer: 50/100)
Sent: ETH-USD | $1857.0 (Buffer: 51/100)
📦 Flushed 51 trades to S3: raw_batch/batch_20260725_125140_51.json
Sent: BTC-USD | $64040.73 (Buffer: 1/100)
Sent: BTC-USD | $64040.73 (Buffer: 2/100)
Sent: BTC-USD | $64040.73 (Buffer: 3/100)
Sent: BTC-USD | $64040.73 (Buffer: 4/100)
Sent: BTC-USD | $64040.73 (Buffer: 5/100)
Sent: BTC-USD | $64040.73 (Buffer: 6/100)
Sent: BTC-USD | $64040.73 (Buffer: 7/100)
Sent: BTC-USD | $64040.73 (Buffer: 8/100)
Sent: BTC-USD | $64040.73 (Buffer: 9/100)
